,No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,Unnamed: 6,Unnamed: 7,Teks_Bersih,Tokens
550,551,@dhivirandini,"""Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..""",Non-bullying,31 Mei 2021,@raffinagita1717,,,doa perempuan nama nagita sehat bahagia lahir batin sayang,"['doa', 'perempuan', 'nama', 'nagita', 'sehat', 'bahagia', 'lahir', 'batin', 'sayang']"
551,552,@yuki_takesy,"""Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa""",Non-bullying,31 Mei 2021,@raffinagita1717,,,rafathar mantul nih pulang enggak nginep enggak teman mamany rumah papany pulang jaga temenin mama a,"['rafathar', 'mantul', 'nih', 'pulang', 'enggak', 'nginep', 'enggak', 'teman', 'mamany', 'rumah', 'papany', 'pulang', 'jaga', 'temenin', 'mama', 'a']"
552,553,@hypelook.store,"""kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha""",Non-bullying,31 Mei 2021,@raffinagita1717,,,kultur kerja kayak bagus enggak kapitalis petinggi kerja ngevlog endors moga gaji enggak senjang haha,"['kultur', 'kerja', 'kayak', 'bagus', 'enggak', 'kapitalis', 'petinggi', 'kerja', 'ngevlog', 'endors', 'moga', 'gaji', 'enggak', 'senjang', 'haha']"
553,554,@mawarmelati6,"""Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..""",Non-bullying,31 Mei 2021,@raffinagita1717,,,senang kerja rans mbak gigi enggak ngebossy,"['senang', 'kerja', 'rans', 'mbak', 'gigi', 'enggak', 'ngebossy']"
554,555,@um_ummah7,"""Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory""",Non-bullying,31 Mei 2021,@raffinagita1717,,,senang lihat orang sukses meeting allah pengin sukses kayak biar status instastory,"['senang', 'lihat', 'orang', 'sukses', 'meeting', 'allah', 'pengin', 'sukses', 'kayak', 'biar', 'status', 'instastory']"
555,556,@etikawatianiek,"""smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..""",Non-bullying,31 Mei 2021,@raffinagita1717,,,moga kelg crew sehat rejeki lancar kak gigi,"['moga', 'kelg', 'crew', 'sehat', 'rejeki', 'lancar', 'kak', 'gigi']"
556,557,@kadospesialmu.id,"""Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya""",Non-bullying,31 Mei 2021,@raffinagita1717,,,fokus nagita minum baca doa keren hasil dik orang tua,"['fokus', 'nagita', 'minum', 'baca', 'doa', 'keren', 'hasil', 'dik', 'orang', 'tua']"
557,558,@ciky_yy,"""Kasihan ya , Nagita punya suami kerjaannya berzinah terus""",Bullying,31 Mei 2021,@raffinagita1717,,,kasihan nagita suami kerja berzinah,"['kasihan', 'nagita', 'suami', 'kerja', 'berzinah']"
558,559,@pipin_sumarini,"""Koreaable banget face rafathar cakep ganteng manis banget""",Non-bullying,31 Mei 2021,@raffinagita1717,,,koreaable face rafathar cakep ganteng manis,"['koreaable', 'face', 'rafathar', 'cakep', 'ganteng', 'manis']"
559,560,@sumiyati_yudi2,"""MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny""",Non-bullying,31 Mei 2021,@raffinagita1717,,,masyaallah rafathar besar ganteng enggak kuat alisny,"['masyaallah', 'rafathar', 'besar', 'ganteng', 'enggak', 'kuat', 'alisny']"
560,561,@ulfanadz,"""Kok mirip siwon ya lama2, apa perasaan gw aja.""",Non-bullying,31 Mei 2021,@raffinagita1717,,,siwon asa,"['siwon', 'asa']"
561,562,@inaciac7,"""Lucunya berasa kayak kaka dan adek""",Non-bullying,29 Mei 2021,@raffinagita1717,,,lucu asa kayak kakak adek,"['lucu', 'asa', 'kayak', 'kakak', 'adek']"
562,563,@medianatambunan,"""Itu wajah nagita kya masih umur 20an""",Non-bullying,29 Mei 2021,@raffinagita1717,,,wajah nagita kaya umur an,"['wajah', 'nagita', 'kaya', 'umur', 'an']"
563,564,@anita_sari1892,"""Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu""",Non-bullying,29 Mei 2021,@raffinagita1717,,,foto no edit edit saay kamera bening model foto bening enggak pakai filter tipu tipu,"['foto', 'no', 'edit', 'edit', 'saay', 'kamera', 'bening', 'model', 'foto', 'bening', 'enggak', 'pakai', 'filter', 'tipu', 'tipu']"
564,565,@riostryn,"""Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.""",Non-bullying,29 Mei 2021,@raffinagita1717,,,look rafathar enggak dipungkiri borong gen mama gigi haha,"['look', 'rafathar', 'enggak', 'dipungkiri', 'borong', 'gen', 'mama', 'gigi', 'haha']"
565,566,@mraldiani,"""Nagita masa kaya anak muda coba cantikk bangeett""",Non-bullying,29 Mei 2021,@raffinagita1717,,,nagita kayak anak muda coba cantik,"['nagita', 'kayak', 'anak', 'muda', 'coba', 'cantik']"
566,567,@aprillia_raffa,"""Masyaallah mamany cantik anakny ganteng, perfect""",Non-bullying,29 Mei 2021,@raffinagita1717,,,masyaallah mamany cantik anak ganteng perfect,"['masyaallah', 'mamany', 'cantik', 'anak', 'ganteng', 'perfect']"
567,568,@azizah_rahman10,"""Kaya adek kakak.. kak gigi keliatan muda banget""",Non-bullying,29 Mei 2021,@raffinagita1717,,,kayak adek kakak kak gigi muda,"['kayak', 'adek', 'kakak', 'kak', 'gigi', 'muda']"
568,569,@andra_jnsyah_14,"""Tambah gede aja rafathar ya tambah pinter ya Rafathar""",Non-bullying,29 Mei 2021,@raffinagita1717,,,gede rafathar pintar rafathar,"['gede', 'rafathar', 'pintar', 'rafathar']"
569,570,@dewitatarias,"""Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda""",Non-bullying,29 Mei 2021,@raffinagita1717,,,mama gigi rambut pirang cantik muda,"['mama', 'gigi', 'rambut', 'pirang', 'cantik', 'muda']"
570,571,@ikakadamayanti,"""OOTD mama gigi simple tapi elegan dilihat nya, masyaallah""",Non-bullying,31 Mei 2021,@raffinagita1717,,,ootd mama gigi simple elegan masyaallah,"['ootd', 'mama', 'gigi', 'simple', 'elegan', 'masyaallah']"
571,572,@rainbowkidshop_,"""Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga""",Non-bullying,31 Mei 2021,@raffinagita1717,,,masyaallah mamah gigi bening deh sehat mamah gigi keluarga,"['masyaallah', 'mamah', 'gigi', 'bening', 'deh', 'sehat', 'mamah', 'gigi', 'keluarga']"
572,573,@amaliapuspitasari20,"""mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.""",Non-bullying,31 Mei 2021,@raffinagita1717,,,mama gigi ketemu gajah gajah senang ketawa ahhaha,"['mama', 'gigi', 'ketemu', 'gajah', 'gajah', 'senang', 'ketawa', 'ahhaha']"
573,574,@nurainiikazulianaa,"""Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep""",Non-bullying,31 Mei 2021,@raffinagita1717,,,allah enggak tau suka lihat nagita pakai dres model cakep cakep,"['allah', 'enggak', 'tau', 'suka', 'lihat', 'nagita', 'pakai', 'dres', 'model', 'cakep', 'cakep']"
574,575,@limcu_n,"""i see beauty in everything mba gigi sehat selalu sama dede bayi nya""",Non-bullying,31 Mei 2021,@raffinagita1717,,,i beauty everything mbak gigi sehat adek bayi,"['i', 'beauty', 'everything', 'mbak', 'gigi', 'sehat', 'adek', 'bayi']"
575,576,@ens_gege,"""Mama gigi cantik banget look younger than her age.. love mama gigi""",Non-bullying,31 Mei 2021,@raffinagita1717,,,mama gigi cantik look younger tahan her age love mama gigi,"['mama', 'gigi', 'cantik', 'look', 'younger', 'tahan', 'her', 'age', 'love', 'mama', 'gigi']"
576,577,@deni_riski,"""Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas""",Non-bullying,31 Mei 2021,@raffinagita1717,,,moga adeknya rafathar anak tangguh kuat cerdas,"['moga', 'adeknya', 'rafathar', 'anak', 'tangguh', 'kuat', 'cerdas']"
577,578,@desysr,"""Pakaian apapun yg dipake mama gigi selalu keceee""",Non-bullying,31 Mei 2021,@raffinagita1717,,,pakai apa pakai mama gigi kece,"['pakai', 'apa', 'pakai', 'mama', 'gigi', 'kece']"
578,579,@balizoo,"""Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga""",Non-bullying,31 Mei 2021,@raffinagita1717,,,terima kasih kak nagita support molly gajah satwa satwa bal zo kunjung keluarga,"['terima', 'kasih', 'kak', 'nagita', 'support', 'molly', 'gajah', 'satwa', 'satwa', 'bal', 'zo', 'kunjung', 'keluarga']"
579,580,@titiwinarni91,"""Kaya ny gajahnya merasakan aura positif nya mb gigi itu kelihatan sumringah jg gajahnya loo..""",Non-bullying,31 Mei 2021,@raffinagita1717,,,kayak gajah rasa aura positif mbak gigi sumringah gajah lo,"['kayak', 'gajah', 'rasa', 'aura', 'positif', 'mbak', 'gigi', 'sumringah', 'gajah', 'lo']"
580,581,@ratna_wahyuningrum28,"""Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..""",Non-bullying,31 Mei 2021,@raffinagita1717,,,manis mbak gigi masya allah hamil sinar,"['manis', 'mbak', 'gigi', 'masya', 'allah', 'hamil', 'sinar']"
581,582,@dedehfp,"""Mama gigi gapernah ga cantik sih kalo menurut aku.""",Non-bullying,31 Mei 2021,@raffinagita1717,,,mama gigi enggak enggak cantik kalo,"['mama', 'gigi', 'enggak', 'enggak', 'cantik', 'kalo']"
582,583,@muhammadmarselnur,"""Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.""",Non-bullying,31 Mei 2021,@raffinagita1717,,,moga sehat bayi kandung ibu,"['moga', 'sehat', 'bayi', 'kandung', 'ibu']"
583,584,@novaaa_nmc,"""Cantik banget semoga sehat selalu kakak panutan""",Non-bullying,9 Mei 2021,@raisa6690,,,cantik moga sehat kakak panutan,"['cantik', 'moga', 'sehat', 'kakak', 'panutan']"
584,585,@silvahumairasadeli,"""MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa""",Non-bullying,9 Mei 2021,@raisa6690,,,masyaallah pesona kaum adam kaum hawa,"['masyaallah', 'pesona', 'kaum', 'adam', 'kaum', 'hawa']"
585,586,@dwiwarochmah,"""Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya""",Non-bullying,9 Mei 2021,@raisa6690,,,enggak orang bangun tidur siang cantik kak yaya,"['enggak', 'orang', 'bangun', 'tidur', 'siang', 'cantik', 'kak', 'yaya']"
586,587,@malikah_06,"""makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya""",Non-bullying,9 Mei 2021,@raisa6690,,,tua muda yeh muka cantik menang ampun cantik kak yaya,"['tua', 'muda', 'yeh', 'muka', 'cantik', 'menang', 'ampun', 'cantik', 'kak', 'yaya']"
587,588,@dwihadianti,"""Gapaham lagi cakeup nya natural Masyaallah""",Non-bullying,9 Mei 2021,@raisa6690,,,gapaham cakeup natural masyaallah,"['gapaham', 'cakeup', 'natural', 'masyaallah']"
588,589,@kroniktron,"""Raisa mah tipe cantik tapi sopan santun pakaiannya""",Non-bullying,9 Mei 2021,@raisa6690,,,raisa tipe cantik sopan santun pakai,"['raisa', 'tipe', 'cantik', 'sopan', 'santun', 'pakai']"
589,590,@rifdaahdr,"""ka yayaaa, why are you always stunning pretty girl.""",Non-bullying,9 Mei 2021,@raisa6690,,,kak yaya why are you always stunning pretty girl,"['kak', 'yaya', 'why', 'are', 'you', 'always', 'stunning', 'pretty', 'girl']"
590,591,@donnnaaaa____,"""Ya Allah ni orang apa peri, cantik amatt""",Non-bullying,30 April 2021,@raisa6690,,,allah nih orang peri cantik,"['allah', 'nih', 'orang', 'peri', 'cantik']"
591,592,@novidianprismaw,"""Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik""",Non-bullying,30 April 2021,@raisa6690,,,cantik heran samping kanan kiri cantik,"['cantik', 'heran', 'samping', 'kanan', 'kiri', 'cantik']"
592,593,@audreyjizlia,"""BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH""",Non-bullying,30 April 2021,@raisa6690,,,henti cakep enggak kak pusing ih,"['henti', 'cakep', 'enggak', 'kak', 'pusing', 'ih']"
593,594,@aqidahhasrida,"""Cantik bajunya keren warnanya bikin pangling""",Non-bullying,30 April 2021,@raisa6690,,,cantik baju keren warna bikin pangling,"['cantik', 'baju', 'keren', 'warna', 'bikin', 'pangling']"
594,595,@tracytrinita,"""Sudah dongggg dan sudah di liked juga.. congratulations""",Non-bullying,10 April 2021,@raisa6690,,,liked congratulations,"['liked', 'congratulations']"
595,596,@hestipurwadinata,"""Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk""",Non-bullying,10 April 2021,@raisa6690,,,udaaaah tonton lagu baju makeup hairdo sukaak,"['udaaaah', 'tonton', 'lagu', 'baju', 'makeup', 'hairdo', 'sukaak']"
596,597,@rzl_40,"""Raisa sekarang ngak monoton. Jadi suka deh. Sering2 kek gini.""",Non-bullying,10 April 2021,@raisa6690,,,raisa enggak monoton suka deh kayak,"['raisa', 'enggak', 'monoton', 'suka', 'deh', 'kayak']"
597,598,@anazd_k,"""udah dong. Lagi ngunyah aja cute banget""",Non-bullying,10 April 2021,@raisa6690,,,ngunyah cute,"['ngunyah', 'cute']"
598,599,@xmxexgxaxr,"""Penyihir secantik ini gue rela dikutuk jadi tokek laut""",Non-bullying,10 April 2021,@raisa6690,,,sihir cantik rela kutuk tokek laut,"['sihir', 'cantik', 'rela', 'kutuk', 'tokek', 'laut']"
599,600,@biannasution,"""Ya ampun kak makan apa sih kok bisa cantik banget""",Non-bullying,10 April 2021,@raisa6690,,,ampun kak makan cantik,"['ampun', 'kak', 'makan', 'cantik']"
600,601,@dhinie_jm,"""Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha""",Non-bullying,10 April 2021,@raisa6690,,,allah kayak anak batita kalo ambek manyunnya gemas hahaha,"['allah', 'kayak', 'anak', 'batita', 'kalo', 'ambek', 'manyunnya', 'gemas', 'hahaha']"
601,602,@ikaa6696,"""Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu""",Non-bullying,10 April 2021,@raisa6690,,,sumpah bagus serasa lihat cerita disney,"['sumpah', 'bagus', 'serasa', 'lihat', 'cerita', 'disney']"
602,603,@atharidho_,"""lu lebih gak sopan, mukak lu kayak babi!""",Bullying,3 Maret 2021,@lutiagizal,,,lu enggak sopan mukak lu kayak babi,"['lu', 'enggak', 'sopan', 'mukak', 'lu', 'kayak', 'babi']"
603,604,@ariessw,"""ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in""",Non-bullying,17 Maret 2021,@raisa6690,,,allah sempurna cipta,"['allah', 'sempurna', 'cipta']"
604,605,@otiv_real,"""Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran""",Non-bullying,17 Maret 2021,@raisa6690,,,ragu cantik kayak kalo cantik kayak heran,"['ragu', 'cantik', 'kayak', 'kalo', 'cantik', 'kayak', 'heran']"
605,606,@fahrirasihan,"""Bukan keliatan ragu, tapi keliatan cantik""",Non-bullying,17 Maret 2021,@raisa6690,,,ragu cantik,"['ragu', 'cantik']"
606,607,@sessy_abramsz,"""Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald""",Non-bullying,17 Maret 2021,@raisa6690,,,warna bikin raisa shinning merah hitam putih pink and emerald,"['warna', 'bikin', 'raisa', 'shinning', 'merah', 'hitam', 'putih', 'pink', 'and', 'emerald']"
607,608,@shintashanditya,"""Raisa pake baju merah sumpahh cantik bgttt""",Non-bullying,17 Maret 2021,@raisa6690,,,raisa pakai baju merah sumpah cantik,"['raisa', 'pakai', 'baju', 'merah', 'sumpah', 'cantik']"
608,609,@ocnalita,"""Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget""",Non-bullying,17 Maret 2021,@raisa6690,,,lirik pendek susah hafal puter eh candu,"['lirik', 'pendek', 'susah', 'hafal', 'puter', 'eh', 'candu']"
609,610,@nissaginting,"""Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya""",Non-bullying,17 Maret 2021,@raisa6690,,,kak yaya enggak ngeraguin dengar lagu,"['kak', 'yaya', 'enggak', 'ngeraguin', 'dengar', 'lagu']"
610,611,@ayyuintn,"""Ka yaya kalo ragu tetep secantik itu yah :"")""",Non-bullying,17 Maret 2021,@raisa6690,,,kak yaya kalo ragu cantik,"['kak', 'yaya', 'kalo', 'ragu', 'cantik']"
611,612,@arsheilaa22,"""Ragu aja cantik kan kak, apalagi kalau serius""",Non-bullying,17 Maret 2021,@raisa6690,,,ragu cantik kak,"['ragu', 'cantik', 'kak']"
612,613,@uswaaahs,"""Ngga alay. Ngga muluk muluk. Natural. Sukaaaa",Non-bullying,28 Juli 2020,@isyanasarasvati,,,enggak alay enggak muluk muluk natural suka,"['enggak', 'alay', 'enggak', 'muluk', 'muluk', 'natural', 'suka']"
613,614,@yolasinamo,"""seru bgt gemoy, tim berkebun plus tim alam bgt niiii""",Non-bullying,28 Juli 2020,@isyanasarasvati,,,seru gemoy tim kebun plus tim alam nih,"['seru', 'gemoy', 'tim', 'kebun', 'plus', 'tim', 'alam', 'nih']"
614,615,@denisyundaa,"""nikmatnya bisa menghirup oksigen dengan bebas ya :)""",Non-bullying,28 Juli 2020,@isyanasarasvati,,,nikmat hirup oksigen bebas,"['nikmat', 'hirup', 'oksigen', 'bebas']"
615,616,@dessysintia_,"""Slide kedua mukanya mau gaya apa aja tetep cantikk""",Non-bullying,28 Juli 2020,@isyanasarasvati,,,slide muka gaya cantik,"['slide', 'muka', 'gaya', 'cantik']"
616,617,@rahmatikarsyita,"""mba isyana foto gelap2an gini aja aesthetic bgt ya""",Non-bullying,28 Juli 2020,@isyanasarasvati,,,mbak isyana foto gelap an aesthetic,"['mbak', 'isyana', 'foto', 'gelap', 'an', 'aesthetic']"
617,618,@no_chuuuuu,"""mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa""",Non-bullying,15 Agustus 2020,@isyanasarasvati,,,mbak isyana cantik suara bagus kompeten ah suka,"['mbak', 'isyana', 'cantik', 'suara', 'bagus', 'kompeten', 'ah', 'suka']"
618,619,@dinaeka33,"""Ga Taulah aku juga suka banget sama gayanya isyan""",Non-bullying,15 Agustus 2020,@isyanasarasvati,,,enggak tau suka gaya isyan,"['enggak', 'tau', 'suka', 'gaya', 'isyan']"
619,620,@raskadipsy,"""Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu""",Non-bullying,15 Agustus 2020,@isyanasarasvati,,,kangen tonton konser isyan langsung virtual experience,"['kangen', 'tonton', 'konser', 'isyan', 'langsung', 'virtual', 'experience']"
620,621,@astri.yanti22491,"""Congrats ka @isyanasarasvati, terus berkarya, makin sukses dan terus mnjd inpirasi kita semua""",Non-bullying,04 April 2020,@isyanasarasvati,,,congrats kak karya sukses mnjd inpirasi,"['congrats', 'kak', 'karya', 'sukses', 'mnjd', 'inpirasi']"
621,622,@hasana_usna,"""Congrats kak, kamu memang pantes mendapatkannya""",Non-bullying,04 April 2021,@isyanasarasvati,,,congrats kak dapat,"['congrats', 'kak', 'dapat']"
622,623,@kazuyaisaam,"""Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana""",Non-bullying,28 September 2020,@isyanasarasvati,,,harap kak umur inspirasi musisi indonesia suka musik indonesia kak isyana,"['harap', 'kak', 'umur', 'inspirasi', 'musisi', 'indonesia', 'suka', 'musik', 'indonesia', 'kak', 'isyana']"
623,624,@adepraagoy,"""Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif""",Non-bullying,28 September 2020,@isyanasarasvati,,,cantik rada gesrek lebih semangat produktif,"['cantik', 'rada', 'gesrek', 'lebih', 'semangat', 'produktif']"
624,625,@grapepush0a,"""Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan""",Non-bullying,28 September 2020,@isyanasarasvati,,,enggak tau serasa tonton wtf benar jakarta virtual and thankyou for the performance kak syan keren pecah tak kecewa,"['enggak', 'tau', 'serasa', 'tonton', 'wtf', 'benar', 'jakarta', 'virtual', 'and', 'thankyou', 'for', 'the', 'performance', 'kak', 'syan', 'keren', 'pecah', 'tak', 'kecewa']"
625,626,@mahrani29,"""Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren""",Non-bullying,28 September 2020,@isyanasarasvati,,,enggak lihat kak isyana live benar panggung pesona live virtual asli keren,"['enggak', 'lihat', 'kak', 'isyana', 'live', 'benar', 'panggung', 'pesona', 'live', 'virtual', 'asli', 'keren']"
626,627,@bekkkyyyyy,"""yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt""",Non-bullying,28 September 2020,@isyanasarasvati,,,yash we the fest even virtual keren kak syan hua energi,"['yash', 'we', 'the', 'fest', 'even', 'virtual', 'keren', 'kak', 'syan', 'hua', 'energi']"
627,628,@isyanaku,"""Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku""",Non-bullying,28 September 2020,@isyanasarasvati,,,keren sebentar mantap habis tunggu karya kak stay safe and healthy isyana ku,"['keren', 'sebentar', 'mantap', 'habis', 'tunggu', 'karya', 'kak', 'stay', 'safe', 'and', 'healthy', 'isyana', 'ku']"
628,629,@eitralala,"""makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa""",Non-bullying,28 September 2020,@isyanasarasvati,,,makaseh kakak inyeeu moga pantang serah kakak teman musisi,"['makaseh', 'kakak', 'inyeeu', 'moga', 'pantang', 'serah', 'kakak', 'teman', 'musisi']"
629,630,@isyanation.batam,"""Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!""",Non-bullying,28 September 2020,@isyanasarasvati,,,thank you syan senang kemarin haha moga pandemi rencana lancar syan,"['thank', 'you', 'syan', 'senang', 'kemarin', 'haha', 'moga', 'pandemi', 'rencana', 'lancar', 'syan']"
630,631,@yolasinamo,"""hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka""",Non-bullying,28 September 2020,@isyanasarasvati,,,hua senang kemarin menit senang lihat isyan adaptasi biasa baru moga atur maemnya tunggu karya kakak,"['hua', 'senang', 'kemarin', 'menit', 'senang', 'lihat', 'isyan', 'adaptasi', 'biasa', 'baru', 'moga', 'atur', 'maemnya', 'tunggu', 'karya', 'kakak']"
631,632,@nikiwonoto,"""senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,,senang indonesia musisi idealis kualitas karya apresiasi orang,"['senang', 'indonesia', 'musisi', 'idealis', 'kualitas', 'karya', 'apresiasi', 'orang']"
632,633,@embunwibisono,"""Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri biar musik Indonesia lebih berwarna""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,,harap hadir musisi genre industri biar musik indonesia warna,"['harap', 'hadir', 'musisi', 'genre', 'industri', 'biar', 'musik', 'indonesia', 'warna']"
633,634,@wardah_eka,"""congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,,congrats kak isyan moga impi impi baik wujud amin,"['congrats', 'kak', 'isyan', 'moga', 'impi', 'impi', 'baik', 'wujud', 'amin']"
634,635,@nurul.hikmah396,"""Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,,idola musisi pandang belah mata label musik congrats syan,"['idola', 'musisi', 'pandang', 'belah', 'mata', 'label', 'musik', 'congrats', 'syan']"
635,636,@syrobby_,"""CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss""",Non-bullying,20 Oktober 2020,@isyanasarasvati,,,congrats kak isyan moga karya kakak sukses,"['congrats', 'kak', 'isyan', 'moga', 'karya', 'kakak', 'sukses']"
636,637,@erminah20,"""ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA""",Bullying,3 Maret 2021,@lutiagizal,,,orang stres gila,"['orang', 'stres', 'gila']"
637,638,@sun.molorteam,"""Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat""",Bullying,3 Maret 2021,@lutiagizal,,,kalai tuhan gaakan jadi manusia pante enggak hidup orang dunia akhlak enggak tolol bangsat,"['kalai', 'tuhan', 'gaakan', 'jadi', 'manusia', 'pante', 'enggak', 'hidup', 'orang', 'dunia', 'akhlak', 'enggak', 'tolol', 'bangsat']"
638,639,@muyasashop,"""Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya""",Non-bullying,13 Februari 2021,@isyanasarasvati,,,menang kalo lagu seiih kalo menang saking bagus lagu,"['menang', 'kalo', 'lagu', 'seiih', 'kalo', 'menang', 'saking', 'bagus', 'lagu']"
639,640,@amalia.oktafina,"""definisi minat ketemu bakat ketemu kerja keras""",Non-bullying,13 Februari 2021,@isyanasarasvati,,,definisi minat ketemu bakat ketemu kerja keras,"['definisi', 'minat', 'ketemu', 'bakat', 'ketemu', 'kerja', 'keras']"
640,641,@arfrakim,"""@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini""",Non-bullying,13 Februari 2021,@isyanasarasvati,,,astaga isyana keren musisi lokal selera musik kayak,"['astaga', 'isyana', 'keren', 'musisi', 'lokal', 'selera', 'musik', 'kayak']"
641,642,@nikedamyan,"""MashaAllah udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah""",Non-bullying,13 Februari 2021,@isyanasarasvati,,,mashaallah cantik pintar jago nyanyi mainin alat musik neng fan,"['mashaallah', 'cantik', 'pintar', 'jago', 'nyanyi', 'mainin', 'alat', 'musik', 'neng', 'fan']"
642,643,@mentariprajna,"""Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis""",Non-bullying,13 Februari 2021,@isyanasarasvati,,,gila gila gila tangan kaki ekspresi n emosi tuang adi karya fantastis,"['gila', 'gila', 'gila', 'tangan', 'kaki', 'ekspresi', 'n', 'emosi', 'tuang', 'adi', 'karya', 'fantastis']"
643,644,@a.nadityaaa_,"""Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett""",Non-bullying,13 Februari 2021,@isyanasarasvati,,,gosh lihat isyana mainin alat musik kayak lihat jiwa beda merinding gila kayak pribadi,"['gosh', 'lihat', 'isyana', 'mainin', 'alat', 'musik', 'kayak', 'lihat', 'jiwa', 'beda', 'merinding', 'gila', 'kayak', 'pribadi']"
